Bilateral trade between Morocco and Türkiye,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Sources: ITC calculations based on Office des changes du Maroc statistics since January, 2015.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on UN COMTRADE statistics since January, 2014 and until January, 2015.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on Office des changes du Maroc statistics since January, 2013 and until January, 2014.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on UN COMTRADE statistics until January, 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data based on the partner reported data (Mirror data) are shown in orange,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Product code,Product label,Morocco's imports from Türkiye,,,,,Türkiye's exports to world,,,,,,Morocco's imports from world,,,,,
,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025
'52,Cotton,124161,199477,183749,203380,,,2265806,2263990,2099178,2178998,2259375,,587896,632071,606050,581002,
'53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,5756,5298,8586,6681,,,65418,65714,64300,66942,69214,,59851,74633,110435,114262,
'54,Man-made filaments; strip and the like of man-made textile materials,42899,42996,38795,46627,,,1871706,1883501,1783373,1669347,1684077,,456949,477783,522123,568553,
'55,Man-made staple fibres,159956,223035,209371,243718,,,1728228,1945761,1655548,1680097,1617354,,913657,1060808,1016104,1105433,
'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",34301,29055,26534,36095,,,1073479,1126836,1080281,1179924,1255139,,203475,193351,170076,198171,
'57,Carpets and other textile floor coverings,10759,7801,7930,10774,,,3240314,2819517,2813981,2928288,2892801,,81391,70599,71716,76141,
'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,22976,19555,19046,24179,,,464298,443997,403349,397294,388710,,184496,175709,185244,218015,
'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",5311,5955,5189,8026,,,308162,335485,338510,354276,344606,,204785,224344,265944,289187,
'60,Knitted or crocheted fabrics,101077,102628,109846,134291,,,2156764,2052420,1927610,1793833,1631221,,775996,692956,748229,858446,
'61,"Articles of apparel and clothing accessories, knitted or crocheted",93278,72931,60316,57756,,,10784069,11011472,10277566,10107414,9618849,,286172,267051,259620,303752,
