Bilateral trade between Morocco and Türkiye,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Sources: ITC calculations based on Office des changes du Maroc statistics since January, 2015.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on UN COMTRADE statistics since January, 2014 and until January, 2015.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on Office des changes du Maroc statistics since January, 2013 and until January, 2014.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on UN COMTRADE statistics until January, 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data based on the partner reported data (Mirror data) are shown in orange,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Product code,Product label,Morocco's exports to Türkiye,,,,,Türkiye's imports from world,,,,,,Morocco's exports to world,,,,,
,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025
'81,Other base metals; cermets; articles thereof,648,0,0,0,,,231706,435464,382475,410973,421474,,137309,135694,126228,119887,
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1,7,4,0,,,670307,798317,918630,949411,903216,,11580,7264,7107,7488,
'83,Miscellaneous articles of base metal,60,8,1,4,,,789592,910044,942274,974132,1028999,,31042,42486,63487,73310,
'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",7754,12681,5392,7626,,,30965405,34574389,40967491,39563438,41644032,,489873,472761,521114,492463,
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",42900,53913,87195,146086,,,19966226,21534334,27947644,27222307,29970360,,5249193,5995016,7719261,8209592,
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",0,0,72,0,,,212818,153362,227257,295260,302583,,805,1023,1863,1479,
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",167239,312284,547147,358777,,,15594819,17678784,32260862,31670243,36866979,,5041423,6370692,7971835,8646992,
'88,"Aircraft, spacecraft, and parts thereof",488,62,64,46,,,2832409,3357342,4283167,4402795,5421506,,1119412,1343967,1262165,1629384,
'89,"Ships, boats and floating structures",0,0,2170,2008,,,1204889,1356463,965286,748046,1318361,,6740,7615,20409,4046,
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",17,75,222,219,,,4882571,5243286,6452462,6788707,7733776,,59605,53344,60932,61522,
'91,Clocks and watches and parts thereof,32,0,0,0,,,299620,383828,463243,540052,611000,,707,1298,1428,1249,
'92,Musical instruments; parts and accessories of such articles,0,0,0,0,,,33119,42709,55150,56687,59734,,145,76,682,2052,
'93,Arms and ammunition; parts and accessories thereof,0,0,0,0,,,199132,185886,230440,422433,1084875,,0,0,1,0,
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",100,291,496,506,,,796706,906033,1070827,1126768,1412233,,305473,326524,423305,614333,
'95,"Toys, games and sports requisites; parts and accessories thereof",0,2,0,1,,,330400,354812,448982,638406,796807,,13365,13218,13780,12548,
'96,Miscellaneous manufactured articles,15,1,22,30,,,437276,564001,643611,663860,783348,,10578,63549,40672,36246,
'97,"Works of art, collectors' pieces and antiques",40,6,18,11,,,15567,18226,37506,31731,36075,,9685,9442,6281,7401,
